Year,Innings,Runs,Balls,Avg,SR,HS,50,100,4s,6s
2007,3,61,74,20.3,82.43,52,1,0,3,1
2008,28,532,733,25.33,72.57,70,3,0,43,3
2009,7,102,155,25.5,65.8,43,0,0,5,1
2010,14,504,586,38.76,86,114,1,2,34,7
2011,16,611,739,55.54,82.67,95,6,0,40,9
2012,13,168,251,12.92,66.93,68,1,0,12,2
2013,27,1196,1480,52,80.81,209,8,2,119,30
2014,12,578,613,52.54,94.29,264,3,1,58,22
2015,17,815,854,50.93,95.43,150,4,3,75,23
2016,10,564,592,62.66,95.27,171,2,2,46,19
2017,21,1293,1300,71.83,99.46,208,5,6,116,46
2018,19,1030,1029,73.57,100.09,162,3,5,104,39
2019,27,1490,1657,57.3,89.92,159,6,7,146,36
2020,3,171,187,57,91.44,119,0,1,16,6
2021,3,90,104,30,86.53,37,0,0,15,0
2022,8,249,218,41.5,114.22,76,3,0,31,12
2023,26,1255,1072,52.29,117.07,131,9,2,131,67
2024,3,157,111,52.33,141.44,64,2,0,18,8
